component,count
1142461300841,1
1142461300836,1
1151051235379,1
1151051235359,1
1151051235371,1
1151051235450,1
1151051235392,1
1151051235356,1
1151051235424,1
1159641170026,1
1159641169937,1
1159641169946,1
1159641170004,1
1168231104653,1
1168231104586,1
1168231104515,1
1168231104565,1
1168231104552,1
1168231104513,1
1176821039185,1
1176821039209,1
1176821039110,1
1176821039202,1
1176821039219,1
1176821039131,1
1185410973706,1
1185410973696,1
1185410973741,1
1185410973838,1
1185410973794,1
1185410973777,1
1185410973757,1
1194000908412,1
1194000908364,1
1194000908420,1
1194000908419,1
1194000908332,1
1194000908343,1
1202590843006,1
1202590842882,1
1202590842920,1
1202590842940,1
1202590842946,1
1202590842983,1
1211180777599,1
1211180777579,1
1211180777492,1
1211180777502,1
1211180777529,1
1211180777546,1
1219770712154,1
1219770712153,1
1219770712133,1
1219770712168,1
1219770712177,1
1219770712150,1
1219770712164,1
1219770712093,1
1228360646682,1
1228360646769,1
1228360646685,1
1228360646749,1
1236950581280,1
1236950581265,1
1236950581296,1
1236950581380,1
1245540515846,1
1245540515843,1
1245540515841,1
1245540515872,1
1245540515917,1
1245540515935,1
1254130450449,1
1254130450491,1
1254130450568,1
1254130450497,1
1262720385055,1
1262720385165,1
1262720385115,1
1262720385161,1
1262720385147,1
1262720385040,1
1262720385179,1
1271310319696,1
1271310319714,1
1271310319632,1
1271310319641,1
1271310319678,1
1271310319625,1
1271310319655,1
1271310319683,1
1271310319654,1
1271310319720,1
1271310319745,1
1271310319719,1
1271310319686,1
1271310319634,1
1279900254226,1
1279900254262,1
1279900254256,1
1279900254238,1
1279900254281,1
1279900254298,1
1279900254269,1
1288490188886,1
1288490188923,1
1288490188900,1
1288490188852,1
1288490188882,1
1288490188898,1
1288490188850,1
1297080123397,1
1297080123526,1
1297080123443,1
1297080123446,1
1297080123490,1
1297080123511,1
1297080123516,1
1297080123441,1
1297080123399,1
1297080123440,1
1297080123495,1
1297080123522,1
1297080123419,1
1305670058008,1
1305670058075,1
1305670058050,1
1305670058014,1
1305670058066,1
1314259992631,1
1314259992616,1
1314259992702,1
1322849927210,1
1322849927258,1
1322849927204,1
1322849927239,1
1322849927223,1
1322849927277,1
1322849927301,1
1322849927271,1
1322849927282,1
1331439861827,1
1331439861833,1
1331439861791,1
1331439861838,1
1331439861896,1
1331439861911,1
1331439861785,1
1340029796360,1
1340029796373,1
1340029796375,1
1340029796474,1
1340029796421,1
1340029796478,1
1348619731002,1
1348619731031,1
1348619730961,1
1348619730948,1
1357209665676,1
1357209665547,1
1357209665589,1
1357209665672,1
1357209665669,1
1357209665620,1
1357209665562,1
1357209665677,1
1365799600161,1
1365799600187,1
1365799600208,1
1365799600156,1
1374389534732,1
1374389534725,1
1382979469424,1
1382979469420,1
1382979469313,1
1382979469320,1
1382979469387,1
1391569403964,1
1391569403947,1
1391569403966,1
1391569403974,1
1391569404008,1
1400159338574,1
1400159338587,1
1400159338618,1
1400159338608,1
1400159338598,1
1400159338507,1
1400159338571,1
1400159338593,1
1400159338530,1
1400159338624,1
1400159338616,1
1408749273125,1
1408749273156,1
1408749273091,1
1408749273200,1
1417339207693,1
1417339207742,1
1417339207686,1
1417339207811,1
1417339207757,1
1417339207822,1
1417339207815,1
1417339207803,1
1417339207709,1
1417339207795,1
1417339207824,1
1417339207785,1
1425929142344,1
1425929142289,1
1425929142354,1
1425929142360,1
1434519076964,1
1434519076917,1
1434519076980,1
1434519076925,1
1434519076983,1
1434519076874,1
1434519076984,1
1434519076882,1
1434519077020,1
1434519076990,1
1443109011462,1
1443109011489,1
1443109011553,1
1443109011468,1
1451698946150,1
1451698946135,1
1451698946144,1
1451698946166,1
1451698946181,1
1451698946092,1
1460288880645,1
1460288880704,1
1460288880687,1
1460288880727,1
1468878815337,1
1468878815366,1
1468878815301,1
1468878815376,1
1468878815250,1
1468878815324,1
1468878815236,1
1468878815274,1
1468878815255,1
1468878815313,1
1468878815345,1
1468878815355,1
1477468749884,1
1477468749906,1
1477468749879,1
1477468749919,1
1477468749970,1
1477468749920,1
1477468749951,1
1486058684425,1
1486058684536,1
1486058684523,1
1486058684460,1
1486058684477,1
1486058684431,1
1486058684500,1
1486058684474,1
1494648619065,1
1494648619106,1
1494648619077,1
1494648619011,1
1494648619043,1
1494648619034,1
1494648619044,1
1503238553720,1
1503238553676,1
1503238553672,1
1503238553623,1
1503238553658,1
1511828488245,1
1511828488258,1
1511828488225,1
1511828488276,1
1511828488212,1
1511828488244,1
1511828488325,1
1520418422786,1
1520418422815,1
1520418422932,1
1520418422806,1
1520418422809,1
1520418422795,1
1529008357495,1
1529008357457,1
1529008357451,1
1529008357444,1
1529008357488,1
1529008357381,1
1529008357405,1
1529008357480,1
1537598292059,1
1537598292062,1
1537598292088,1
1537598292047,1
1537598292095,1
1546188226596,1
1546188226610,1
1546188226647,1
1546188226718,1
1546188226695,1
1546188226711,1
1546188226636,1
1546188226581,1
1546188226726,1
1546188226627,1
1546188226684,1
1554778161179,1
1554778161189,1
1554778161281,1
1554778161249,1
1563368095816,1
1563368095763,1
1563368095847,1
1563368095803,1
1563368095868,1
1571958030343,1
1571958030431,1
1571958030336,1
1571958030385,1
1580547964931,1
1589137899540,1
1589137899641,1
1589137899623,1
1589137899669,1
1597727834215,1
1597727834168,1
1597727834136,1
1597727834142,1
1606317768800,1
1606317768823,1
1606317768832,1
1606317768712,1
1606317768729,1
1606317768802,1
1606317768735,1
1606317768781,1
1606317768789,1
1606317768770,1
1606317768734,1
1606317768724,1
1614907703298,1
1614907703349,1
1614907703352,1
1614907703324,1
1614907703394,1
1614907703388,1
1614907703306,1
1614907703374,1
